locationdesc,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019
Alabama,12.3,13.3,14.6,,13.3,17.0,17.1,16.1,,17.2
Alaska,,11.0,,11.0,11.9,11.5,12.4,14.0,13.7,14.8
Arizona,,11.1,11.8,11.6,12.8,10.9,10.7,10.9,12.3,13.3
Arkansas,13.7,,15.3,13.7,14.3,15.2,17.8,18.0,21.7,22.1
California,,,,,,,,13.9,13.9,15.9
Colorado,,,9.6,,6.9,7.3,,,9.5,10.3
Connecticut,,,11.1,12.2,10.2,12.5,12.3,12.3,12.7,14.4
Delaware,10.7,13.3,14.0,13.2,13.5,12.2,14.2,15.8,15.1,
Florida,10.1,12.1,10.8,11.2,10.3,11.5,11.6,12.3,10.9,14.0
Georgia,,11.0,12.3,13.7,12.3,15.0,12.7,,,18.3
Hawaii,,,13.1,15.2,14.2,13.2,13.4,12.9,14.2,16.4
Idaho,7.2,7.4,7.2,10.9,8.7,9.2,9.6,11.1,11.4,12.1
Illinois,,,,12.8,11.9,11.6,11.5,12.6,14.8,15.2
Indiana,,11.3,14.9,13.7,12.6,14.7,,13.6,,
Iowa,,,12.2,11.1,,13.2,,,15.3,17.0
Kansas,,,11.8,11.0,12.2,10.2,12.6,,13.1,15.1
Kentucky,,14.5,15.4,15.4,17.4,16.5,18.0,18.5,20.2,18.4
Louisiana,,,,15.4,14.4,16.1,13.5,,17.0,16.5
Maine,10.2,12.7,10.8,12.6,12.5,11.5,11.6,13.3,14.3,14.9
Maryland,,,12.6,12.9,12.0,12.0,11.0,11.5,12.6,12.8
Michigan,10.6,12.3,12.0,12.4,11.9,12.1,13.0,14.3,16.7,15.3
Missouri,12.7,12.1,13.8,11.9,14.3,,14.9,13.1,16.6,18.4
Montana,6.1,8.0,9.3,10.1,10.3,8.5,9.4,10.3,11.7,11.5
Nebraska,,10.4,10.9,,,11.6,12.7,13.0,14.6,13.3
Nevada,,,,10.8,10.9,,11.4,12.2,14.0,12.3
New Hampshire,,9.7,11.3,11.5,11.9,12.1,11.2,12.2,12.8,12.7
New Jersey,10.0,,11.3,,10.2,11.0,8.7,,,11.9
New Mexico,,,12.0,10.9,13.5,12.8,12.6,15.6,15.3,15.2
New York,,12.7,10.3,10.8,10.8,11.0,10.6,13.1,12.4,13.4
North Carolina,12.8,12.4,13.4,12.7,13.2,12.9,12.5,16.4,15.4,15.4
North Dakota,9.2,9.2,11.1,9.9,10.9,11.0,13.5,14.0,14.9,14.0
Ohio,,13.8,12.7,12.3,,14.7,13.0,,,16.8
Oklahoma,,11.0,15.1,14.6,14.0,16.7,11.8,17.3,17.1,17.6
Pennsylvania,,,,,11.7,,,14.0,13.7,15.4
Rhode Island,9.1,9.8,12.8,10.6,10.2,10.8,10.7,12.0,15.2,14.3
South Carolina,,,12.6,14.3,16.5,13.3,13.9,16.3,17.2,16.6
South Dakota,7.5,9.4,10.4,9.0,9.5,9.8,11.9,14.7,,14.1
Tennessee,,15.1,14.4,16.8,15.7,15.2,16.9,18.6,20.5,20.9
Texas,14.0,,13.7,15.5,13.2,15.6,15.7,,18.6,16.9
Utah,6.1,6.9,5.5,8.6,6.3,8.6,6.4,,9.6,9.8
Vermont,9.4,10.6,9.5,11.5,12.2,9.9,13.2,12.4,12.6,13.1
West Virginia,,13.6,14.5,14.5,14.1,14.6,15.6,17.9,19.5,22.9
Wisconsin,9.5,10.3,9.8,11.0,9.3,10.4,11.6,,13.7,14.5
Wyoming,6.5,7.2,8.3,9.2,9.7,11.1,10.7,11.0,,
