Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2009,0,US,United States,42868163,42631574,43104752,14.3,14.3,14.4,14656962,14526159,14787765,20,19.8,20.2,9509142,9419830,9598454,18.2,18.1,18.4,50221,50147,50295,4849988,4792377,4907599,23.2,23,23.5
2009,1,AL,Alabama,805223,789114,821333,17.5,17.2,17.9,274243,265833,282654,24.6,23.8,25.3,181942,175085,188799,22.7,21.9,23.6,40547,40037,41057,89398,84576,94221,28.7,27.2,30.3
2009,2,AK,Alaska,61949,58489,65410,9.1,8.6,9.6,22221,20228,24213,12.3,11.2,13.4,13145,11501,14789,10.5,9.2,11.8,66712,65176,68247,8017,6908,9125,15.1,13,17.2
2009,4,AZ,Arizona,1065728,1045152,1086305,16.5,16.1,16.8,396006,383185,408827,23.3,22.5,24,254203,243872,264534,21.4,20.6,22.3,48711,48242,49180,134617,127395,141838,26.4,25,27.9
2009,5,AR,Arkansas,519026,506813,531240,18.5,18.1,18.9,185268,178772,191764,26.6,25.6,27.5,120867,115349,126385,24.4,23.3,25.6,37888,37289,38487,61707,58339,65076,30.8,29.1,32.5
2009,6,CA,California,5132640,5084687,5180592,14.2,14,14.3,1846994,1818538,1875449,19.9,19.6,20.2,1214400,1189918,1238882,18.6,18.2,18.9,58925,58654,59196,594576,580849,608303,22.1,21.6,22.6
2009,8,CO,Colorado,618676,602047,635306,12.6,12.2,12.9,201208,191827,210588,16.6,15.9,17.4,123633,115813,131453,14.6,13.7,15.5,55735,55065,56405,72155,66855,77455,20.2,18.7,21.6
2009,9,CT,Connecticut,318008,306540,329477,9.3,9,9.7,95570,89742,101397,12,11.2,12.7,62605,57668,67542,10.6,9.8,11.5,66906,66011,67802,30473,27439,33508,14.7,13.2,16.2
2009,10,DE,Delaware,96409,91347,101472,11.2,10.6,11.8,33851,31433,36270,16.7,15.5,17.9,21382,19392,23372,14.9,13.5,16.2,56985,55682,58287,11631,10283,12979,20,17.7,22.4
2009,11,DC,District of Columbia,100489,94965,106012,17.6,16.7,18.6,32621,29523,35718,29,26.2,31.7,22325,19512,25138,29.4,25.7,33.1,58906,57614,60198,9790,8640,10940,27.1,23.9,30.2
2009,12,FL,Florida,2712692,2679143,2746241,15,14.8,15.2,857326,837561,877092,21.5,21,22,556711,539315,574107,19.7,19.1,20.3,44755,44468,45041,284323,274555,294091,24.9,24,25.7
2009,13,GA,Georgia,1585116,1558085,1612148,16.6,16.3,16.9,575429,559426,591432,22.7,22,23.3,373468,359590,387346,20.8,20,21.6,47469,47060,47877,194127,186581,201672,26.4,25.4,27.4
2009,15,HI,Hawaii,131896,125676,138116,10.4,9.9,10.9,39214,36312,42115,13.7,12.7,14.7,25040,22668,27412,12.7,11.5,13.9,63741,62422,65059,12815,11236,14395,14.7,12.8,16.5
2009,16,ID,Idaho,217528,209865,225192,14.4,13.9,14.9,76630,72538,80723,18.5,17.5,19.5,47402,43954,50850,16.4,15.2,17.6,44644,43785,45504,27308,25112,29504,22.1,20.4,23.9
2009,17,IL,Illinois,1671343,1642933,1699754,13.3,13.1,13.5,586040,569067,603014,18.7,18.2,19.3,392427,377672,407182,17.5,16.8,18.2,53974,53579,54368,183410,175761,191060,20.9,20,21.7
2009,18,IN,Indiana,895619,878284,912953,14.4,14.1,14.7,310140,299765,320514,19.9,19.2,20.5,196437,187875,204999,17.6,16.8,18.4,45427,44983,45870,107473,101977,112970,24.6,23.3,25.9
2009,19,IA,Iowa,342309,333186,351431,11.8,11.5,12.1,109384,104021,114747,15.6,14.8,16.4,64558,60055,69061,13,12.1,13.9,48065,47648,48482,40160,37259,43061,20.1,18.6,21.5
2009,20,KS,Kansas,359692,349833,369551,13.2,12.8,13.5,118187,112221,124153,17.1,16.2,18,71850,66966,76734,14.7,13.7,15.7,47709,47074,48343,43084,39854,46314,21.5,19.9,23.1
2009,21,KY,Kentucky,771876,756732,787019,18.4,18.1,18.8,251684,243202,260167,25.3,24.5,26.2,162544,155384,169704,23,21.9,24,40061,39545,40577,84400,79880,88921,30,28.4,31.6
