,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Year,State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
2019,0,US,United States,"39,490,096","39,248,096","39,732,096",12.3,12.2,12.4,"12,000,470","11,865,995","12,134,945",16.8,16.6,17,"8,258,906","8,160,650","8,357,162",15.8,15.6,16,"65,712","65,594","65,830","3,457,689","3,405,854","3,509,524",18.2,17.9,18.5
2019,1,AL,Alabama,"747,478","730,491","764,465",15.6,15.2,16,"233,890","225,712","242,068",21.9,21.1,22.7,"161,670","154,564","168,776",20.7,19.8,21.6,"51,771","51,179","52,363","69,236","65,296","73,176",24.2,22.8,25.6
2019,2,AK,Alaska,"73,033","68,640","77,426",10.2,9.6,10.8,"23,110","21,326","24,894",13.2,12.2,14.2,"14,945","13,473","16,417",11.9,10.7,13.1,"77,203","74,942","79,464","7,350","6,443","8,257",14.9,13.1,16.7
2019,4,AZ,Arizona,"963,007","940,142","985,872",13.5,13.2,13.8,"309,844","297,708","321,980",19.2,18.4,20,"214,561","203,870","225,252",18.1,17.2,19,"62,027","61,584","62,470","88,440","83,016","93,864",21.1,19.8,22.4
2019,5,AR,Arkansas,"468,575","456,478","480,672",16,15.6,16.4,"148,843","142,807","154,879",21.7,20.8,22.6,"99,539","94,586","104,492",19.9,18.9,20.9,"49,020","48,177","49,863","45,995","43,010","48,980",25.2,23.6,26.8
2019,6,CA,California,"4,560,419","4,509,811","4,611,027",11.8,11.7,11.9,"1,363,913","1,335,622","1,392,204",15.6,15.3,15.9,"969,127","944,427","993,827",15.2,14.8,15.6,"80,423","80,110","80,736","362,735","349,016","376,454",15.7,15.1,16.3
2019,8,CO,Colorado,"531,331","516,240","546,422",9.4,9.1,9.7,"139,017","130,741","147,293",11.2,10.5,11.9,"97,101","89,801","104,401",10.7,9.9,11.5,"77,104","76,329","77,879","37,031","33,361","40,701",11.4,10.3,12.5
2019,9,CT,Connecticut,"343,101","331,999","354,203",9.9,9.6,10.2,"96,843","91,433","102,253",13.5,12.7,14.3,"69,310","64,502","74,118",12.9,12,13.8,"78,920","77,639","80,201","24,998","22,796","27,200",14.1,12.9,15.3
2019,10,DE,Delaware,"106,227","100,509","111,945",11.2,10.6,11.8,"32,036","29,866","34,206",16.3,15.2,17.4,"21,885","20,037","23,733",15.2,13.9,16.5,"70,348","68,855","71,841","9,428","8,431","10,425",18.1,16.2,20
2019,11,DC,District of Columbia,"94,985","88,692","101,278",14.1,13.2,15,"26,379","22,277","30,481",20.8,17.6,24,"16,359","12,535","20,183",20.1,15.4,24.8,"90,395","88,226","92,564","9,565","8,390","10,740",21.4,18.8,24
2019,12,FL,Florida,"2,681,832","2,641,009","2,722,655",12.7,12.5,12.9,"754,366","730,692","778,040",18.2,17.6,18.8,"512,439","492,642","532,236",16.9,16.2,17.6,"59,198","58,758","59,638","224,337","211,921","236,753",20.3,19.2,21.4
2019,13,GA,Georgia,"1,397,607","1,370,705","1,424,509",13.5,13.2,13.8,"479,379","462,139","496,619",19.5,18.8,20.2,"337,151","321,824","352,478",18.6,17.8,19.4,"61,950","61,517","62,383","134,041","127,055","141,027",21,19.9,22.1
2019,15,HI,Hawaii,"124,650","118,029","131,271",9,8.5,9.5,"33,038","29,912","36,164",11.2,10.1,12.3,"22,208","19,469","24,947",10.5,9.2,11.8,"83,734","81,783","85,685","9,312","7,918","10,706",11.3,9.6,13
2019,16,ID,Idaho,"193,741","185,524","201,958",11,10.5,11.5,"55,949","52,006","59,892",12.7,11.8,13.6,"36,471","33,128","39,814",11.2,10.2,12.2,"60,830","59,799","61,861","17,748","15,794","19,702",15.7,14,17.4
2019,17,IL,Illinois,"1,415,838","1,390,337","1,441,339",11.4,11.2,11.6,"431,937","417,345","446,529",15.6,15.1,16.1,"296,303","284,550","308,056",14.6,14,15.2,"69,212","68,633","69,791","126,156","118,068","134,244",17.3,16.2,18.4
