,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Year,State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
2020,0,US,United States,"38,371,394","38,309,115","38,433,673",11.9,11.9,11.9,"11,204,423","11,176,652","11,232,194",15.7,15.7,15.7,"7,798,566","7,778,138","7,818,994",14.9,14.9,14.9,"67,340","67,251","67,429","3,146,325","3,133,736","3,158,914",16.8,16.7,16.9
2020,1,AL,Alabama,"714,568","695,249","733,887",14.9,14.5,15.3,"222,934","213,738","232,130",20.9,20,21.8,"152,810","144,819","160,801",19.7,18.7,20.7,"53,958","53,013","54,903","66,169","61,541","70,797",23.3,21.7,24.9
2020,2,AK,Alaska,"68,714","64,952","72,476",9.6,9.1,10.1,"21,459","19,801","23,117",12.3,11.3,13.3,"13,944","12,574","15,314",11.1,10,12.2,"79,961","77,531","82,391","6,852","5,955","7,749",14.2,12.3,16.1
2020,4,AZ,Arizona,"932,555","904,127","960,983",12.8,12.4,13.2,"283,667","269,862","297,472",17.6,16.7,18.5,"197,320","185,245","209,395",16.6,15.6,17.6,"64,652","63,735","65,569","79,944","73,422","86,466",19.4,17.8,21
2020,5,AR,Arkansas,"448,665","434,898","462,432",15.2,14.7,15.7,"142,855","136,047","149,663",20.8,19.8,21.8,"96,688","90,761","102,615",19.3,18.1,20.5,"51,146","49,750","52,542","43,491","40,261","46,721",24,22.2,25.8
2020,6,CA,California,"4,419,167","4,357,445","4,480,889",11.5,11.3,11.7,"1,260,145","1,226,143","1,294,147",14.6,14.2,15,"898,424","868,759","928,089",14.2,13.7,14.7,"83,001","82,422","83,580","327,414","312,308","342,520",14.6,13.9,15.3
2020,8,CO,Colorado,"511,346","494,184","528,508",9,8.7,9.3,"129,839","121,098","138,580",10.6,9.9,11.3,"89,390","81,924","96,856",9.8,9,10.6,"77,688","76,545","78,831","36,625","32,181","41,069",11.6,10.2,13
2020,9,CT,Connecticut,"333,435","320,574","346,296",9.7,9.3,10.1,"83,935","77,882","89,988",11.8,10.9,12.7,"60,753","55,404","66,102",11.5,10.5,12.5,"79,723","78,511","80,935","20,781","18,148","23,414",11.8,10.3,13.3
2020,10,DE,Delaware,"104,400","98,380","110,420",10.9,10.3,11.5,"30,380","28,223","32,537",15.1,14,16.2,"20,536","18,730","22,342",14.1,12.9,15.3,"71,335","68,795","73,875","9,067","7,971","10,163",17,14.9,19.1
